hotel,arrival_date,total_reservations,canceled_reservations,cancellation_rate
"Resort Hotel",2016-10-20,103,17,16.5049
"Resort Hotel",2016-10-21,55,23,41.8182
"Resort Hotel",2016-10-22,93,59,63.4409
"Resort Hotel",2016-10-23,59,10,16.9492
"Resort Hotel",2016-10-24,66,20,30.3030
"Resort Hotel",2016-10-25,47,9,19.1489
"Resort Hotel",2016-10-26,64,18,28.1250
"Resort Hotel",2016-10-27,73,35,47.9452
"Resort Hotel",2016-10-28,70,22,31.4286
"Resort Hotel",2016-10-29,96,20,20.8333
"Resort Hotel",2016-10-30,63,12,19.0476
"Resort Hotel",2016-10-31,62,11,17.7419
"Resort Hotel",2016-11-01,53,22,41.5094
"Resort Hotel",2016-11-02,45,9,20.0000
"Resort Hotel",2016-11-03,62,20,32.2581
"Resort Hotel",2016-11-04,55,8,14.5455
"Resort Hotel",2016-11-05,82,29,35.3659
"Resort Hotel",2016-11-06,33,8,24.2424
"Resort Hotel",2016-11-07,46,8,17.3913
"Resort Hotel",2016-11-08,49,8,16.3265
"Resort Hotel",2016-11-09,37,2,5.4054
"Resort Hotel",2016-11-10,53,15,28.3019
"Resort Hotel",2016-11-11,43,12,27.9070
"Resort Hotel",2016-11-12,58,17,29.3103
"Resort Hotel",2016-11-13,31,0,0.0000
"Resort Hotel",2016-11-14,54,8,14.8148
"Resort Hotel",2016-11-15,47,1,2.1277
"Resort Hotel",2016-11-16,33,4,12.1212
"Resort Hotel",2016-11-17,61,12,19.6721
"Resort Hotel",2016-11-18,66,9,13.6364
"Resort Hotel",2016-11-19,53,5,9.4340
"Resort Hotel",2016-11-20,22,2,9.0909
"Resort Hotel",2016-11-21,39,10,25.6410
"Resort Hotel",2016-11-22,23,4,17.3913
"Resort Hotel",2016-11-23,31,6,19.3548
"Resort Hotel",2016-11-24,36,7,19.4444
"Resort Hotel",2016-11-25,45,8,17.7778
"Resort Hotel",2016-11-26,63,22,34.9206
"Resort Hotel",2016-11-27,17,4,23.5294
"Resort Hotel",2016-11-28,35,2,5.7143
"Resort Hotel",2016-11-29,41,8,19.5122
"Resort Hotel",2016-11-30,19,6,31.5789
"Resort Hotel",2016-12-01,44,7,15.9091
"Resort Hotel",2016-12-02,56,5,8.9286
"Resort Hotel",2016-12-03,100,42,42.0000
"Resort Hotel",2016-12-04,18,1,5.5556
"Resort Hotel",2016-12-05,59,11,18.6441
"Resort Hotel",2016-12-06,27,6,22.2222
"Resort Hotel",2016-12-07,29,7,24.1379
"Resort Hotel",2016-12-08,80,20,25.0000
"Resort Hotel",2016-12-09,23,3,13.0435
"Resort Hotel",2016-12-10,40,9,22.5000
"Resort Hotel",2016-12-11,16,3,18.7500
"Resort Hotel",2016-12-12,34,4,11.7647
"Resort Hotel",2016-12-13,32,2,6.2500
"Resort Hotel",2016-12-14,37,1,2.7027
"Resort Hotel",2016-12-15,35,5,14.2857
"Resort Hotel",2016-12-16,44,6,13.6364
"Resort Hotel",2016-12-17,60,15,25.0000
"Resort Hotel",2016-12-18,16,4,25.0000
"Resort Hotel",2016-12-19,42,7,16.6667
"Resort Hotel",2016-12-20,36,14,38.8889
"Resort Hotel",2016-12-21,31,8,25.8065
"Resort Hotel",2016-12-22,53,15,28.3019
"Resort Hotel",2016-12-23,64,20,31.2500
"Resort Hotel",2016-12-24,64,16,25.0000
"Resort Hotel",2016-12-25,21,2,9.5238
"Resort Hotel",2016-12-26,50,21,42.0000
"Resort Hotel",2016-12-27,39,7,17.9487
"Resort Hotel",2016-12-28,34,8,23.5294
"Resort Hotel",2016-12-29,33,6,18.1818
"Resort Hotel",2016-12-30,134,43,32.0896
"Resort Hotel",2016-12-31,31,8,25.8065
"Resort Hotel",2017-01-01,25,10,40.0000
"Resort Hotel",2017-01-02,55,13,23.6364
"Resort Hotel",2017-01-03,29,7,24.1379
"Resort Hotel",2017-01-04,35,8,22.8571
"Resort Hotel",2017-01-05,33,4,12.1212
